Type,ks,Species
Speciation_gene_pairs_same_direction,0.61939,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.844519,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.911195,M. lutarioriparius
Speciation_gene_pairs_same_direction,2.24597,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.2139,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.861079,M. lutarioriparius
Speciation_gene_pairs_same_direction,2.63083,M. lutarioriparius
Speciation_gene_pairs_same_direction,2.17965,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.73952,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.978384,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.37744,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.901193,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.46608,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.788374,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.941272,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.791556,M. lutarioriparius
Speciation_gene_pairs_same_direction,2.77027,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.9194,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.56519,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.3564,M. lutarioriparius
Speciation_gene_pairs_same_direction,2.67127,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.27728,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.04351,M. lutarioriparius
Speciation_gene_pairs_same_direction,2.6811,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.58765,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.812947,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.63206,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.812179,M. lutarioriparius
