Type,omega,Species
Speciation_gene_pairs_same_direction,0.1526,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2032,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.235,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2347,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0846,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1388,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2727,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.616,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.3769,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1702,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.3099,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2653,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.4661,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1368,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2673,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0962,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2057,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.3,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0664,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2424,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2597,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.4096,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0793,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0732,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1752,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.4135,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2494,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2287,M. lutarioriparius
